0,7470
1,1059
2,1003
3,950
4,892
5,822
6,737
7,640
8,542
9,455
10,386
11,339
12,312
13,303
14,310
15,329
16,357
17,388
18,419
19,447
20,468
21,484
22,495
23,499
24,495
25,490
26,486
27,489
28,497
29,506
30,516
31,527
32,537
33,547
34,558
35,571
36,585
37,602
38,620
39,640
40,661
41,680
42,696
43,710
44,722
45,735
46,751
47,772
48,800
49,834
50,873
51,915
52,957
53,997
54,1036
55,1075
56,1118
57,1168
58,1226
59,1293
60,1368
61,1446
62,1526
63,1605
64,1681
65,1756
66,1829
67,1903
68,1977
69,2049
70,2116
71,2171
72,2209
73,2228
74,2227
75,2208
76,2176
77,2131
78,2072
79,1996
80,1903
81,1790
82,1660
83,1524
84,1385
85,1238
86,1082
87,923
88,766
89,619
90,485
91,367
92,267
93,187
94,127
95,83
96,53
97,32
98,19
99,11
100,13
